Íslandsmót bardaga 2014;Cadet;B;41-44kg;Konur;Vigdís Helga Eyjólfsdóttir ; Afturelding;2;3
Íslandsmót bardaga 2014;Cadet;AB;+65kg;Karlar;Gabríel Örn Grétarsson ; Björk;2;3
Íslandsmót bardaga 2014;Cadet;AB;57-61kg;Karlar;Ægir Már Baldvinsson ; Keflavík;2;3
Íslandsmót bardaga 2014;Junior;BC;+68kg;Konur;Sóley Þrastardóttir ; Keflavík;2;3
Íslandsmót bardaga 2014;Junior;C;+78kg;Karlar;Hákon Klaus Haraldsson ; Grindavík;2;3
Íslandsmót bardaga 2014;Junior;C;73-78kg;Karlar;Guðni Elvar Björnsson ; Selfoss;2;3
Íslandsmót bardaga 2014;Junior;BC;51-55kg;Karlar;Andri Freyr Baldvinsson ; Keflavík;2;3
Íslandsmót bardaga 2014;Junior;B;52-55kg;Konur;Eva Valdís Hákonardóttir ; Ármann;2;3
Íslandsmót bardaga 2014;Junior;AB;59-63kg;Konur;Hrafnhildur Rafnsdóttir ; Björk;2;3
Íslandsmót bardaga 2014;Junior;AB;63-68kg;Karlar;Viktor Ingi Ágústsson ; Afturelding;2;3
Íslandsmót bardaga 2014;Senior;C;67-73kg;Konur;Tania Sofia Jónasdóttir ; Selfoss;2;3
Íslandsmót bardaga 2014;Senior;C;63-68kg;Karlar;Sölvi Snær Jökulsson ; Selfoss;2;3
Íslandsmót bardaga 2014;Senior;C;+87kg;Karlar;Heimir Örn Ottósson ; Björk;2;3
Íslandsmót bardaga 2014;Senior;C;74-80kg;Karlar;Ísak Jökulsson ; Selfoss;2;3
Íslandsmót bardaga 2014;Senior;AB;80-87kg;Karlar;Kristmundur Gíslason ; Keflavík;2;3
Íslandsmót bardaga 2014;Senior;AB;68-74kg;Karlar;Normandy Del Rosario ; Keflavík;2;3
Íslandsmót bardaga 2014;Senior;AB;62-67kg;Konur;Kristín Sesselja Róbertsdóttir ; Einherjar;2;3
Íslandsmót bardaga 2014;Veteran;BC;87-98kg;Karlar;Sigurgeir Björn Geirsson ; Fram;3;1
Íslandsmót bardaga 2014;Veteran;BC;74-80kg;Karlar;Marcin Januczewicz ; Fram;3;1
Íslandsmót bardaga 2014;Veteran;C;+80kg;Konur;Birgitta Helga Sigurðardóttir ; Grindavík;3;1
Íslandsmót bardaga 2014;Veteran;C;67-73kg;Konur;Erla Björg Rúnarsdóttir  ; Keflavík;3;1
Íslandsmót bardaga 2014;Veteran;BC;53-57kg;Konur;María Guðrún Sveinbjörnsdóttir;Afturelding;3;1
Íslandsmót bardaga 2014;Veteran;C;+98kg;Karlar;Jóhannes Erlingsson ; Selfoss;3;1
Íslandsmót bardaga 2014;Cadet;C;49-53kg;Karlar;Gestur Gunnarsson ; KR;3;1
Íslandsmót bardaga 2014;Cadet;BC;+59kg;Konur;Silja Arnbjörnsdóttir ; HK;3;1
Íslandsmót bardaga 2014;Cadet;C;+65kg;Karlar;Freyr Hreinsson ; Selfoss;3;1
Íslandsmót bardaga 2014;Cadet;C;57-61kg;Karlar;Hjalti Örn Árnason ; Keflavík;3;1
Íslandsmót bardaga 2014;Cadet;C;41-45kg;Karlar;Jón Aron Eiðsson ; Grindavík;3;1
Íslandsmót bardaga 2014;Cadet;C;33-37kg;Karlar;Loftur Bjarni Ingvarsson ; Fram;3;1
Íslandsmót bardaga 2014;Cadet;AB;33-37kg;Karlar;Halldór Grettisson ; Ármann;3;1
Íslandsmót bardaga 2014;Cadet;AB;+65kg;Karlar;Ævar Týr Sigurðarson ; Keflavík;3;1
Íslandsmót bardaga 2014;Junior;BC;+68kg;Konur;Ástrós Sóley Kristjánsdóttir ; Keflavík;3;1
Íslandsmót bardaga 2014;Junior;AB;59-63kg;Konur;Samar Uz Zaman;Ármann;3;1
Íslandsmót bardaga 2014;Junior;AB;63-68kg;Karlar;Sigurður Pálsson ; Björk;3;1
Íslandsmót bardaga 2014;Senior;C;67-73kg;Konur;Helene Rún Benjamínsdóttir ; Keflavík;3;1
Íslandsmót bardaga 2014;Senior;AB;80-87kg;Karlar;Björn Lúkas Haraldsson ; Grindavík;3;1
Íslandsmót bardaga 2014;Senior;AB;68-74kg;Karlar;Vésteinn Sæmundsson ; Ármann;3;1
Íslandsmót bardaga 2014;Senior;AB;62-67kg;Konur;Kristín Björg Hrólfsdóttir ; Einherjar;3;1
Bikarmót II 2013/2014;veteran;C;84-98kg;karlar;Jóhann Ölvir Guðmundsson ;Fram;1;7
Bikarmót II 2013/2014;Veteran;BC;74-80kg;karlar;Ágúst Örn Guðmundsson ;Afturelding;1;7
Bikarmót II 2013/2014;cadet;C;53-57kg;karlar;Dagný María Pétursdóttir;Selfoss;1;7
Bikarmót II 2013/2014;veteran;BC;62-67kg;konur;María Bragadóttir ;Afturelding;1;7
Bikarmót II 2013/2014;veteran;BC;yfir 80kg;konur;Melkorka Víðsdóttir ; Ármann;1;7
Bikarmót II 2013/2014;veteran;BC;yfir 80kg;konur;Birgitta Helga Sigurðardóttir ;Keflavík;1;7
Bikarmót II 2013/2014;cadet;B;undir 33kg;karlar;Halldór Grettisson ;Ármann;1;7
Bikarmót II 2013/2014;cadet;C;37-41kg;karlar;Gabríel Daði Marinósson ;Þór;1;7
Bikarmót II 2013/2014;cadet;C;45-49kg;karlar;Viktor Snær Flosason ; ;1;7
Bikarmót II 2013/2014;cadet;C;57-61kg;karlar;Breki Dagur Jónsson ; Björk;1;7
Bikarmót II 2013/2014;cadet;B;41-45kg;karlar;Brynjar Logi Halldórsson ;Ármann;1;7
Bikarmót II 2013/2014;cadet;B;yfir 65kg;karlar;Gabríel Örn Grétarsson ; Björk;1;7
Bikarmót II 2013/2014;cadet;BC;44-47kg;konur;Karen Dís Hafliðadóttir ; Breiðablik;1;7
Bikarmót II 2013/2014;cadet;B;41-44kg;konur;Aldís Inga Richardsdóttir ;Afturelding;1;7
Bikarmót II 2013/2014;cadet;B;52-55kg;konur;Kristín María Vilhjálmsdóttir ;Ármann;1;7
Bikarmót II 2013/2014;cadet;C;52-55kg;konur;Elína M. Jónsdóttir ;Keflavík;1;7
Bikarmót II 2013/2014;junior;C;59-63kg;karlar;Ástþór Eydal Friðriksson ; ;1;7
Bikarmót II 2013/2014;junior;B;63-68kg;karlar;Gísli Þráinn Þorsteinsson ;ÁRmann;1;7
Bikarmót II 2013/2014;senior;C;63-68kg;karlar;Marek Krawczynski ;Selfoss;1;7
Bikarmót II 2013/2014;senior;C;74-80kg;karlar;Engilbert Haukur Kolbeinsson ; ;1;7
Bikarmót II 2013/2014;senior;BC;57-62kg;konur;Kristín Sesselja Róbertsdóttir ;Einherjar;1;7
Bikarmót II 2013/2014;cadet;AB;49-53kg;karlar;Gunnar Snorri Svanþórsson ;Einherjar;1;7
Bikarmót II 2013/2014;junior;AB;52-55kg;konur;Ástrós Brynjarsdóttir ; Keflavík;1;7
Bikarmót II 2013/2014;junior;AB;59-63kg;karlar;Karel Bergmann Gunnarsson ; Keflavík;1;7
Bikarmót II 2013/2014;junior;AB;63-68kg;konur;Erla Björg Björnsdóttir ; Afturelding;1;7
Bikarmót II 2013/2014;veteran;AB;87-98kg;karlar;Helgi Rafn Guðmundsson ; Keflavík;1;7
Bikarmót II 2013/2014;senior;A;62-67kg;konur;Kristín Björg Hrólfsdóttir ; Einherjar;1;7
Bikarmót II 2013/2014;senior;A;74-80kg;karlar;Björn Lúkas Haraldsson ; Grindavík;1;7
Bikarmót II 2013/2014;veteran;C;84-98kg;karlar;Rúdolf Rúnarsson ;Fram;2;3
Bikarmót II 2013/2014;Veteran;BC;74-80kg;karlar;Richard Már Jónsson ;Afturelding;2;3
Bikarmót II 2013/2014;cadet;C;53-57kg;karlar;Guðmundur Pascal Erlendsson ; ;2;3
Bikarmót II 2013/2014;veteran;BC;62-67kg;konur;María Guðrún Sveinbjörnsdóttir ;Afturelding;2;3
Bikarmót II 2013/2014;veteran;BC;yfir 80kg;konur;Dýrleif Rúnarsdóttir ; Keflavík;2;3
Bikarmót II 2013/2014;veteran;BC;yfir 80kg;konur;Tania Sofia Jónasdóttir ;Keflavík;2;3
Bikarmót II 2013/2014;cadet;B;undir 33kg;karlar;Daníel Egilsson ;Keflavík;2;3
Bikarmót II 2013/2014;cadet;C;37-41kg;karlar;Alexander Snær Forberg ;Afturelding;2;3
Bikarmót II 2013/2014;cadet;C;45-49kg;karlar;Halldór Gunnar Þorsteinsson ; ;2;3
Bikarmót II 2013/2014;cadet;C;57-61kg;karlar;Jakob Máni Jónsson ; Grindavík;2;3
Bikarmót II 2013/2014;cadet;B;41-45kg;karlar;Daníel Arnar Ragnarsson ;Keflavík;2;3
Bikarmót II 2013/2014;cadet;B;yfir 65kg;karlar;Ævar Týr Sigurðarson ; Keflavík;2;3
Bikarmót II 2013/2014;cadet;BC;44-47kg;konur;Salka Hlín Jóhannsdóttir ; Fram;2;3
Bikarmót II 2013/2014;cadet;B;41-44kg;konur;Vigdís Helga Eyjólfsdóttir ;Ármann;2;3
Bikarmót II 2013/2014;cadet;B;52-55kg;konur;Gerður Eva Halldórsdóttir ;Breiðablik;2;3
Bikarmót II 2013/2014;cadet;C;52-55kg;konur;Ísold Vala Þorsteinsdóttir ; ;2;3
Bikarmót II 2013/2014;junior;C;59-63kg;karlar;Aron Dagur Guðnason ; ;2;3
Bikarmót II 2013/2014;junior;B;63-68kg;karlar;Ólafur Þorsteinn Skúlason ;Keflavík;2;3
Bikarmót II 2013/2014;senior;C;63-68kg;karlar;Kristófer Reykjalín Þorláksson ;Einherji;2;3
Bikarmót II 2013/2014;senior;C;74-80kg;karlar;Guðni Elvar Björnsson ; ;2;3
Bikarmót II 2013/2014;senior;BC;57-62kg;konur;Álfheiður  Kristín Harðardóttir ; ;2;3
Bikarmót II 2013/2014;cadet;AB;49-53kg;karlar;Ólafur Bjarki Guðmundsson ; ;2;3
Bikarmót II 2013/2014;junior;AB;52-55kg;konur;Eva Valdís Hákonardóttir ; Ármann;2;3
Bikarmót II 2013/2014;junior;AB;59-63kg;karlar;Sigurður Pálsson ; Björk;2;3
Bikarmót II 2013/2014;junior;AB;63-68kg;konur;Samar Uz Zaman;Ármann;2;3
Bikarmót II 2013/2014;veteran;AB;87-98kg;karlar;Ragnar Karel Gunnarsson ; Ármann;2;3
Bikarmót II 2013/2014;senior;A;62-67kg;konur;Írunn Ketilsdóttir ; Ármann;2;3
Bikarmót II 2013/2014;senior;A;74-80kg;karlar;Arnar Bragason ; Afturelding;2;3
Bikarmót II 2013/2014;veteran;C;84-98kg;karlar;Grettir Einarsson ;Ármann;3;1
Bikarmót II 2013/2014;Veteran;BC;74-80kg;karlar;Eric Wolf ;ármann;3;1
Bikarmót II 2013/2014;cadet;C;53-57kg;karlar;Skúli Hólm Hauksson ;Afturelding;3;1
Bikarmót II 2013/2014;veteran;BC;62-67kg;konur;Anna Suryati Tjhin ;Afturelding;3;1
Bikarmót II 2013/2014;veteran;BC;yfir 80kg;konur;Erna Héðinsdóttir ; Ármann;3;1
Bikarmót II 2013/2014;cadet;C;37-41kg;karlar;Leo Anthony Speight ; ;3;1
Bikarmót II 2013/2014;cadet;C;45-49kg;karlar;Kriel Eric Jan Luzara Renegado ; ;3;1
Bikarmót II 2013/2014;cadet;C;57-61kg;karlar;Kristófer Daði Sigvaldason ; Breiðablik;3;1
Bikarmót II 2013/2014;cadet;B;41-45kg;karlar;Hákon Jan Norðfjörð ;KR;3;1
Bikarmót II 2013/2014;cadet;B;yfir 65kg;karlar;Nickolai Ceasarrio ; Fram;3;1
Bikarmót II 2013/2014;cadet;BC;44-47kg;konur;María Ósk Ómarsdóttir ; Ármann;3;1
Bikarmót II 2013/2014;cadet;B;52-55kg;konur;Sandra Rut Sverrisdóttir ; ;3;1
Bikarmót II 2013/2014;junior;B;63-68kg;karlar;Sigurjón Bergur Eiríksson ; ;3;1
Bikarmót II 2013/2014;cadet;AB;49-53kg;karlar;Níels Salómon Ágústsson ;Afturelding;3;1
Bikarmót II 2013/2014;junior;AB;52-55kg;konur;Aníta Viggósdóttir ; Björk;3;1
